,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,prefered_category,training_ID,training_type,training_name,trainer_name,training_total_meetings,training_price,discount_training,cross_selling,upselling
10,P0011,Jasaraharja Lampung,Yahya Saputra,"Gang Otto Iskandardinata No. 22
Pasuruan, Kalimantan Utara 60010",+62 (66) 295-6206,harja03@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-11,5,diskon,14,Group,67200000.0,4,social media,positif,bagus,80,25,80,5,Ya,5,Sales & Marketing Series,B0011,Sales & Marketing Series,Professional Selling Skills,Haris,17,8000000,40,Sales Forecasting: for Sales Target Results,Professional Selling Skills
11,P0012,MPM Finance,Marwata Samosir,"Jl. Cihampelas No. 451
Kupang, Sulawesi Utara 54589",084 589 4409,simon30@example.org,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-12,3,bulan,4,Retail,11400000.0,3,social media,netral,buruk,40,13,55,2,Tidak,2,Office & Administration Series,B0012,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,8,3000000,5,Secretary Development Program,Interactive Dashboard with Microsoft Excel
12,P0013,Bank Of China,Devi Hardiansyah,"Jalan Tebet Barat Dalam No. 107
Tanjungpinang, BA 15686",+62 (80) 523 2398,bambangrahmawati@example.org,Real Estat,2020-01-13,2,bulan,2,Retail,6000000.0,1,social media,negatif,buruk,20,6,30,2,Tidak,2,Credit & Collection Series,B0013,Credit & Collection Series,Managing Corporate Collection,Ibun,8,3000000,0,Mengelola NPL dengan Early Warning Sysstem (EWS),Managing Corporate Collection
13,P0014,Kereta Cepat Indonesia China (KCIC),Drs. Yessi Saragih,"Jalan Joyoboyo No. 27
Blitar, Jawa Barat 87020",(068) 297-8566,rahimahasmianto@example.org,Pertambangan dan Penggalian,2020-01-14,3,diskon,8,Group,33600000.0,4,social media,positif,bagus,75,17,60,4,Ya,4,Office & Administration Series,B0014,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,14,6000000,30,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
14,P0015,CSUL,Chelsea Setiawan,"Gang Abdul Muis No. 6
Batu, Gorontalo 32689",+62 (675) 192 3119,zahrakuswandari@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-15,2,bulan,5,Retail,23750000.0,2,phone,netral,sedang,50,13,40,3,Tidak,3,Other Series,B0015,Other Series,Information Security Awareness,Ibun,11,5000000,5,Health And Safety Environment,Information Security Awareness
15,P0016,BPRS Dhinar Asri,Calista Tamba,"Jalan Erlangga No. 809
Tegal, Kalimantan Timur 27676",+62 (056) 386-8148,wmandasari@example.com,Industri Pengolahan,2020-01-16,5,peristiwa khusus,18,Group,99000000.0,5,social media,positif,bagus,80,26,85,5,Ya,5,HR Series,B0016,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,50,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
16,P0017,Indonesia  Teijin Dupont,dr. Maryadi Wibisono,"Jl. Monginsidi No. 5
Makassar, JA 03171",+62 (81) 639 3726,lprasetya@example.org,Aktivitas Keuangan dan Asuransi,2020-01-17,3,hari spesifik,6,Retail,22800000.0,3,phone,netral,sedang,45,11,45,3,Tidak,2,Credit & Collection Series,B0017,Credit & Collection Series,Managing Corporate Collection,Ibun,11,4000000,5,Professional Debt Collection Skills,Managing Corporate Collection
17,P0018,Hyundai Motors Indonesia,"Tgk. Kasiran Gunarto, S.IP","Jalan S. Parman No. 1
Kota Administrasi Jakarta Utara, Papua Barat 74149",+62 (030) 399-0065,salsabilayuniar@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-18,5,diskon,14,Group,39200000.0,5,social media,positif,bagus,90,21,90,5,Ya,5,Sales & Marketing Series,B0018,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Haris,17,7000000,60,Professional Selling Skills,Sales Forecasting: for Sales Target Results
18,P0019,Indowire Prima Industrindo,Harjasa Simbolon,"Jl. Ahmad Dahlan No. 573
Jambi, Lampung 03280",+62 (0351) 298-5194,flatupono@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-19,5,diskon,15,Group,82500000.0,4,social media,positif,bagus,80,20,80,5,Ya,5,Training Series,B0019,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,45,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
19,P0020,Indowire Prima Industrindo,"Diana Habibi, S.Sos","Jl. Ciumbuleuit No. 056
Bima, KB 03042",+62 (0052) 373-3100,wijayasaadat@example.net,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-20,4,diskon,12,Group,66000000.0,4,social media,positif,bagus,80,24,85,5,Ya,5,Training Series,B0020,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,45,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
20,P0021,Hutama Karya Infrastruktur,dr. Karta Nuraini,"Gg. Rajawali Timur No. 28
Pekalongan, Kalimantan Utara 94985",(0073) 240 7869,shakilalatupono@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-01-21,4,diskon,17,Group,81600000.0,4,social media,positif,bagus,80,29,90,5,Ya,5,Training Series,B0021,Training Series,Comprehensive Train The Trainers,Haris,15,8000000,40,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
21,P0022,Bank Of CHina,Ellis Prabowo,"Jalan Stasiun Wonokromo No. 620
Pekanbaru, Kepulauan Bangka Belitung 14086",(0392) 497-8218,betaniawasita@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-01-22,4,diskon,19,Group,66500000.0,5,social media,positif,bagus,90,24,80,5,Ya,5,Other Series,B0022,Other Series,Health And Safety Environment,Iqbal,17,7000000,50,Information Security Awareness,Health And Safety Environment
22,P0023,MPM Finance,"Indah Narpati, S.Farm","Gg. Cikutra Timur No. 951
Banjar, SU 76844",+62-466-798-9297,samsul26@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-23,5,diskon,14,Group,33600000.0,5,social media,positif,bagus,80,25,90,5,Ya,5,Office & Administration Series,B0023,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Aryo,15,4000000,40,Secretary Development Program,Interactive Dashboard with Microsoft Excel
23,P0024,Bank Sumut,Yance Riyanti,"Gang Pasirkoja No. 63
Cimahi, Kalimantan Barat 93057",(050) 514 8798,veralaksmiwati@example.com,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-24,4,diskon,7,Group,57750000.0,4,social media,positif,bagus,70,18,60,4,Ya,4,Office & Administration Series,B0024,Office & Administration Series,Manajemen Filling & Tata Kelola Kantor,Aryo,14,11000000,25,Interactive Dashboard with Microsoft Excel,Manajemen Filling & Tata Kelola Kantor
24,P0025,Frisan Flag Indonesia,"Cut Mala Januar, M.M.","Gg. Jayawijaya No. 0
Cilegon, YO 01633",(071) 095 3052,natsirhari@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-25,3,diskon,10,Group,32000000.0,4,social media,positif,bagus,65,18,65,4,Ya,4,Other Series,B0025,Other Series,Health And Safety Environment,Ibun,11,4000000,20,Customer Service Excellence For Basic and Frontliner,Health And Safety Environment
25,P0026,BI Institute,Artanto Januar,"Jalan Kutai No. 383
Probolinggo, Aceh 89268",(0831) 673-6663,latuponolaila@example.org,Aktivitas Keuangan dan Asuransi,2020-01-26,4,diskon,8,Group,42000000.0,4,social media,positif,bagus,75,17,60,4,Ya,4,Finance Series,B0026,Finance Series,International Banking Facility,Ibun,14,7000000,25,Cash Flow & Credit Management,International Banking Facility
26,P0027,BPRS HIK Cibitung ,Yono Napitupulu,"Jl. Cihampelas No. 720
Padang, Papua Barat 98536",+62-925-479-9127,septihutasoit@example.org,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-27,3,bulan,3,Retail,17100000.0,3,email,netral,sedang,50,10,45,2,Tidak,2,Office & Administration Series,B0027,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,11,6000000,5,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
27,P0028,Bank Fama International,Dr. Hasna Manullang,"Gg. Cikutra Barat No. 849
Pariaman, Jawa Barat 75364",+62 (20) 699 4547,irawanembuh@example.org,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-01-28,5,diskon,20,Group,80000000.0,5,social media,positif,bagus,80,22,90,5,Ya,5,Training Series,B0028,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,60,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
28,P0029,ACA,Lili Prayoga,"Jalan Abdul Muis No. 7
Surakarta, SR 65593",+62 (22) 222-6708,saragihkemal@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-29,3,bulan,5,Retail,23750000.0,2,phone,netral,buruk,45,11,45,3,Tidak,3,Other Series,B0029,Other Series,Health And Safety Environment,Ibun,9,5000000,5,Information Security Awareness,Health And Safety Environment
29,P0030,Kobexindo,"Aurora Susanti, M.Farm","Jalan Raya Setiabudhi No. 7
Tasikmalaya, Banten 02934",(005) 240-8850,embuhsuwarno@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2020-01-30,3,bulan,5,Retail,52250000.0,3,phone,netral,bagus,40,11,40,3,Tidak,2,HR Series,B0030,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,11,11000000,5,Build A Great and Strong Corporate Culture,People (HR) Analytics: For HR & Non HR Professional
30,P0031,Medion,Gandi Maryati,"Gg. Stasiun Wonokromo No. 2
Padang Sidempuan, SG 53778",(002) 043-3567,maheswarahana@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-31,3,hari spesifik,4,Retail,19000000.0,3,phone,netral,buruk,40,12,55,3,Tidak,3,Other Series,B0031,Other Series,Information Security Awareness,Ibun,11,5000000,5,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
31,P0032,HK Metals Utama,Drs. Ihsan Yolanda,"Jalan Dr. Djunjunan No. 07
Tegal, Sumatera Selatan 88036",(041) 195 5396,santosobalapati@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-02-01,5,diskon,18,Group,75600000.0,5,social media,positif,bagus,80,21,85,5,Ya,5,Other Series,B0032,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
32,P0033,Sharp Electronics,"Patricia Hutagalung, S.E.I","Gang Gardujati No. 30
Pangkalpinang, Aceh 40981",+62 (0571) 553 6237,prabowolidya@example.com,"Pertanian, Kehutanan dan Perikanan",2020-02-02,4,diskon,11,Group,35750000.0,4,social media,positif,bagus,75,17,65,4,Ya,4,Other Series,B0033,Other Series,Health And Safety Environment,Ibun,12,5000000,35,Information Security Awareness,Health And Safety Environment
33,P0034,Bank BTN ,Pardi Hutagalung,"Gang Sukabumi No. 781
Tual, SS 99930",+62 (85) 845 0796,vsihombing@example.net,Informasi Dan Komunikasi,2020-02-03,4,diskon,16,Group,86400000.0,5,social media,positif,bagus,90,20,85,5,Ya,5,Training Series,B0034,Training Series,Comprehensive Train The Trainers,Haris,16,9000000,40,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
34,P0035,Campina Ice Cream,Dian Permata,"Gg. Pasirkoja No. 7
Padangpanjang, Aceh 49325",+62 (550) 538 8458,sucipalastri@example.com,Industri Pengolahan,2020-02-04,5,diskon,12,Group,72000000.0,5,social media,positif,bagus,80,27,90,5,Ya,5,HR Series,B0035,HR Series,Build A Great and Strong Corporate Culture,Reza,16,10000000,40,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
35,P0036,Bank BTN ,Drs. Sari Lailasari,"Jl. Wonoayu No. 13
Mojokerto, AC 72903",+62 (50) 987 1959,megantaratirtayasa@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-02-05,5,diskon,12,Group,60000000.0,5,social media,positif,bagus,90,24,90,5,Ya,5,Training Series,B0036,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,50,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
36,P0037,Bank BTN ,R.A. Yani Manullang,"Gg. Sadang Serang No. 5
Bitung, Kalimantan Barat 08609",(024) 048 4126,raisa82@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-02-06,2,bulan,4,Retail,26600000.0,3,phone,netral,sedang,50,11,45,3,Tidak,3,Sales & Marketing Series,B0037,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,11,7000000,5,Professional Selling Skills,Sales Forecasting: for Sales Target Results
37,P0038,Indospring ,"Cornelia Anggriawan, M.Farm","Jalan Cikutra Barat No. 98
Bukittinggi, Sulawesi Selatan 40155",+62 (18) 672-5727,rhutasoit@example.org,Aktivitas Keuangan dan Asuransi,2020-02-07,3,hari spesifik,5,Retail,49500000.0,3,phone,netral,sedang,40,14,45,3,Tidak,3,Finance Series,B0038,Finance Series,Cash Flow & Credit Management,Alam,11,11000000,10,Finance for Non Finance Executive,Cash Flow & Credit Management
38,P0039,Keb Hana,R. Maryanto Tarihoran,"Jl. PHH. Mustofa No. 91
Gorontalo, GO 18826",+62-0567-393-2123,oktavianiemong@example.com,Industri Pengolahan,2020-02-08,5,diskon,15,Group,72000000.0,5,social media,positif,bagus,85,28,90,5,Ya,5,Sales & Marketing Series,B0039,Sales & Marketing Series,Professional Selling Skills,Rian,17,8000000,40,Sales Forecasting: for Sales Target Results,Professional Selling Skills
39,P0040,Syncrum Logistic,Nadine Nurdiyanti,"Gg. Sukajadi No. 7
Mataram, KI 20510",(056) 921-1395,fujiatihamzah@example.net,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-02-09,3,peristiwa khusus,11,Group,44000000.0,3,social media,positif,bagus,60,17,75,4,Ya,3,Other Series,B0040,Other Series,Information Security Awareness,Iqbal,14,5000000,20,Health And Safety Environment,Information Security Awareness
40,P0041,BI Babel,"Ir. Nadine Rahmawati, S.Pd","Jl. Ciumbuleuit No. 76
Tangerang, BB 67847",(0622) 334-2235,latuponolukman@example.org,Pendidikan,2020-02-10,4,diskon,10,Group,56000000.0,3,social media,positif,sedang,65,16,75,4,Ya,4,Finance Series,B0041,Finance Series,International Banking Facility,Ibun,14,7000000,20,Cash Flow & Credit Management,International Banking Facility
41,P0042,BI Purwokerto,Leo Nasyidah,"Gang Dr. Djunjunan No. 37
Sabang, Bengkulu 89847",(0930) 455 0151,jaryani@example.org,Industri Pengolahan,2020-02-11,5,diskon,19,Group,79800000.0,5,social media,positif,bagus,85,29,90,5,Ya,5,Sales & Marketing Series,B0042,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,40,Professional Selling Skills,Sales Forecasting: for Sales Target Results
42,P0043,Artha Prima Finance,Chelsea Saptono,"Jl. Jayawijaya No. 0
Banjar, JT 49880",+62 (0099) 646 9361,lembahhidayat@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-02-12,5,diskon,19,Group,85500000.0,4,social media,positif,bagus,85,28,90,4,Ya,5,Training Series,B0043,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,55,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
43,P0044,Asuransi Raksa Pratikara,Cecep Nainggolan,"Jalan Jayawijaya No. 08
Batam, SR 12053",(050) 318 8567,danggraini@example.com,Pengangkutan dan Pergudangan,2020-02-13,3,diskon,8,Group,66000000.0,3,social media,positif,bagus,65,18,75,4,Ya,4,HR Series,B0044,HR Series,Build A Great and Strong Corporate Culture,Reza,14,11000000,25,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
44,P0045,Pro Car International Finance,Adiarja Wibowo,"Gang Pelajar Pejuang No. 2
Tebingtinggi, KS 25813",+62 (066) 448-0635,ilsalailasari@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-02-14,5,peristiwa khusus,15,Group,63000000.0,5,social media,positif,bagus,80,20,80,5,Ya,5,Other Series,B0045,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
45,P0046,BPRS Dhinar Asri,Ganjaran Suartini,"Jalan Rumah Sakit No. 39
Tanjungpinang, Riau 41835",+62-079-076-9644,mhandayani@example.net,Konstruksi,2020-02-15,5,diskon,16,Group,105600000.0,5,social media,positif,bagus,80,21,85,5,Ya,5,HR Series,B0046,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,40,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
46,P0047,BTM Muhammadiyah,Bagiya Pratama,"Gg. S. Parman No. 37
Padang, BB 34134",+62 (046) 426 6316,cawuksimanjuntak@example.com,Konstruksi,2020-02-16,5,diskon,16,Group,67200000.0,4,social media,positif,bagus,85,25,85,5,Ya,5,Sales & Marketing Series,B0047,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,40,Professional Selling Skills,Sales Forecasting: for Sales Target Results
47,P0048,Palyja,Tgk. Zahra Novitasari,"Gang Kiaracondong No. 6
Banjar, KT 04432",+62 (0481) 605 0671,heryantomandala@example.net,Real Estat,2020-02-17,4,diskon,19,Group,73150000.0,4,social media,positif,bagus,90,29,90,5,Ya,5,Finance Series,B0048,Finance Series,International Banking Facility,Ibun,17,7000000,45,Cash Flow & Credit Management,International Banking Facility
48,P0049,BPRS Amanah Ummah,drg. Warsa Tarihoran,"Jalan Rawamangun No. 0
Samarinda, KS 11875",(0437) 190-5497,upiknashiruddin@example.com,"Pertanian, Kehutanan dan Perikanan",2020-02-18,4,diskon,8,Group,39200000.0,3,social media,positif,bagus,75,18,65,4,Ya,3,Other Series,B0049,Other Series,Health And Safety Environment,Ibun,14,7000000,30,Information Security Awareness,Health And Safety Environment
49,P0050,BPD Papua,Ade Wibowo,"Jalan Asia Afrika No. 812
Blitar, Sulawesi Selatan 76203",+62 (059) 647-6377,ajimatpertiwi@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-02-19,4,diskon,8,Group,60000000.0,4,social media,positif,sedang,65,16,65,4,Ya,4,HR Series,B0050,HR Series,Build A Great and Strong Corporate Culture,Reza,13,10000000,25,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
50,P0051,BPD Papua,Rika Rahimah,"Jl. S. Parman No. 41
Semarang, Sulawesi Selatan 41527",(0357) 912 1048,himawanhalimah@example.com,Aktivitas Jasa Lainnya,2020-02-20,3,diskon,10,Group,56000000.0,3,social media,positif,bagus,75,16,65,4,Ya,3,Sales & Marketing Series,B0051,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,14,7000000,20,Professional Selling Skills,Sales Forecasting: for Sales Target Results
51,P0052,BPD SULUT GO,Hairyanto Aryani,"Gg. Kapten Muslihat No. 56
Tanjungpinang, Aceh 95363",+62-46-125-6383,prastutimelinda@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2020-02-21,5,diskon,15,Group,52500000.0,5,social media,positif,bagus,80,22,80,5,Ya,5,Finance Series,B0052,Finance Series,International Banking Facility,Ibun,17,7000000,50,Cash Flow & Credit Management,International Banking Facility
52,P0053,Hyundai Motors Indonesia,Pangestu Setiawan,"Gang Kapten Muslihat No. 77
Serang, Maluku 19066",+62 (0637) 638-4372,cornelia89@example.org,Konstruksi,2020-02-22,3,bulan,3,Retail,29700000.0,3,social media,netral,sedang,55,11,40,3,Tidak,3,HR Series,B0053,HR Series,People (HR) Analytics: For HR & Non HR Professional,Lukas,11,11000000,10,Build A Great and Strong Corporate Culture,People (HR) Analytics: For HR & Non HR Professional
53,P0054,Hino Motor Sales Indonesia,Hani Puspita,"Jl. PHH. Mustofa No. 834
Kota Administrasi Jakarta Barat, SR 31753",+62 (868) 893 7915,gatot74@example.org,Informasi Dan Komunikasi,2020-02-23,5,diskon,15,Group,63000000.0,5,social media,positif,bagus,85,28,85,5,Ya,5,Finance Series,B0054,Finance Series,International Banking Facility,Ibun,17,7000000,40,Cash Flow & Credit Management,International Banking Facility
54,P0055,Mitsubishi Chemica Indonesia,"drg. Fitria Rahimah, M.TI.","Gang Kiaracondong No. 98
Prabumulih, Nusa Tenggara Barat 38704",+62 (027) 585 9509,tantriwacana@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-02-24,4,diskon,7,Group,26250000.0,4,social media,positif,buruk,75,15,65,4,Ya,3,Other Series,B0055,Other Series,Information Security Awareness,Ibun,14,5000000,25,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
55,P0056,Futaba,"Darijan Prabowo, S.E.","Gang Cihampelas No. 057
Pontianak, NB 44990",+62 (0590) 974 0014,jagapati57@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-02-25,5,diskon,15,Group,99000000.0,5,social media,positif,bagus,85,21,80,5,Ya,5,HR Series,B0056,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,40,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
56,P0057,Sarana  Multi Infrastruktur (SMI),Rahmi Sitorus,"Jl. Astana Anyar No. 53
Cirebon, ST 01283",+62 (13) 569 0591,hassanahjono@example.org,"Kesenian, Hiburan Dan Rekreasi",2020-02-26,5,diskon,17,Group,102000000.0,5,social media,positif,bagus,90,28,90,5,Ya,5,Training Series,B0057,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,40,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
