,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,training_ID,trainer_name,training_total_meetings,training_price,discount_training,training_type,training_name,cross_selling,upselling
10,P0011,Jasaraharja Lampung,Yahya Saputra,"Gang Otto Iskandardinata No. 22
Pasuruan, Kalimantan Utara 60010",+62 (66) 295-6206,harja03@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-11,5,diskon,14,Group,110000000.0,5,social media,positif,bagus,87,10,1,5,Ya,5,B0011,Haris,17,8000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
11,P0012,MPM Finance,Marwata Samosir,"Jl. Cihampelas No. 451
Kupang, Sulawesi Utara 54589",084 589 4409,simon30@example.org,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-12,5,diskon,4,Group,114000000.0,5,social media,positif,bagus,92,10,2,2,Ya,5,B0012,Iqbal,8,3000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
12,P0013,Bank Of China,Devi Hardiansyah,"Jalan Tebet Barat Dalam No. 107
Tanjungpinang, BA 15686",+62 (80) 523 2398,bambangrahmawati@example.org,Real Estat,2020-01-13,5,diskon,2,Group,114000000.0,5,social media,positif,bagus,91,10,1,2,Ya,5,B0013,Ibun,8,3000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
13,P0014,Kereta Cepat Indonesia China (KCIC),Drs. Yessi Saragih,"Jalan Joyoboyo No. 27
Blitar, Jawa Barat 87020",(068) 297-8566,rahimahasmianto@example.org,Pertambangan dan Penggalian,2020-01-14,5,diskon,8,Group,114000000.0,5,social media,positif,bagus,87,10,2,4,Ya,5,B0014,Iqbal,14,6000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
14,P0015,CSUL,Chelsea Setiawan,"Gang Abdul Muis No. 6
Batu, Gorontalo 32689",+62 (675) 192 3119,zahrakuswandari@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-15,5,diskon,5,Group,108000000.0,5,social media,positif,bagus,91,10,1,3,Ya,5,B0015,Ibun,11,5000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
15,P0016,BPRS Dhinar Asri,Calista Tamba,"Jalan Erlangga No. 809
Tegal, Kalimantan Timur 27676",+62 (056) 386-8148,wmandasari@example.com,Industri Pengolahan,2020-01-16,5,diskon,18,Group,120000000.0,5,social media,positif,bagus,91,10,2,5,Ya,5,B0016,Reza,17,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
16,P0017,Indonesia  Teijin Dupont,dr. Maryadi Wibisono,"Jl. Monginsidi No. 5
Makassar, JA 03171",+62 (81) 639 3726,lprasetya@example.org,Aktivitas Keuangan dan Asuransi,2020-01-17,5,diskon,6,Group,91200000.0,5,social media,positif,bagus,91,10,2,3,Ya,5,B0017,Ibun,11,4000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
17,P0018,Hyundai Motors Indonesia,"Tgk. Kasiran Gunarto, S.IP","Jalan S. Parman No. 1
Kota Administrasi Jakarta Utara, Papua Barat 74149",+62 (030) 399-0065,salsabilayuniar@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-01-18,5,diskon,14,Group,114000000.0,5,social media,positif,bagus,90,10,2,5,Ya,5,B0018,Haris,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
18,P0019,Indowire Prima Industrindo,Harjasa Simbolon,"Jl. Ahmad Dahlan No. 573
Jambi, Lampung 03280",+62 (0351) 298-5194,flatupono@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-19,5,diskon,15,Group,120000000.0,5,social media,positif,bagus,91,10,2,5,Ya,5,B0019,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
19,P0020,Indowire Prima Industrindo,"Diana Habibi, S.Sos","Jl. Ciumbuleuit No. 056
Bima, KB 03042",+62 (0052) 373-3100,wijayasaadat@example.net,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-01-20,5,diskon,12,Group,86400000.0,5,social media,positif,bagus,90,10,1,5,Ya,5,B0020,Haris,17,10000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
20,P0021,Hutama Karya Infrastruktur,dr. Karta Nuraini,"Gg. Rajawali Timur No. 28
Pekalongan, Kalimantan Utara 94985",(0073) 240 7869,shakilalatupono@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-01-21,5,diskon,17,Group,86400000.0,5,social media,positif,bagus,94,10,2,5,Ya,5,B0021,Haris,15,8000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
21,P0022,Bank Of CHina,Ellis Prabowo,"Jalan Stasiun Wonokromo No. 620
Pekanbaru, Kepulauan Bangka Belitung 14086",(0392) 497-8218,betaniawasita@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-01-22,5,diskon,19,Group,91200000.0,5,social media,positif,bagus,89,10,1,5,Ya,5,B0022,Iqbal,17,7000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
22,P0023,MPM Finance,"Indah Narpati, S.Farm","Gg. Cikutra Timur No. 951
Banjar, SU 76844",+62-466-798-9297,samsul26@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-23,5,diskon,14,Group,99000000.0,5,social media,positif,bagus,91,10,1,5,Ya,5,B0023,Aryo,15,4000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
23,P0024,Bank Sumut,Yance Riyanti,"Gang Pasirkoja No. 63
Cimahi, Kalimantan Barat 93057",(050) 514 8798,veralaksmiwati@example.com,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-24,5,diskon,7,Group,110000000.0,5,social media,positif,bagus,90,10,2,4,Ya,5,B0024,Aryo,14,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
24,P0025,Frisan Flag Indonesia,"Cut Mala Januar, M.M.","Gg. Jayawijaya No. 0
Cilegon, YO 01633",(071) 095 3052,natsirhari@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-01-25,5,diskon,10,Group,86400000.0,5,social media,positif,bagus,91,10,2,4,Ya,5,B0025,Ibun,11,4000000,60,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
25,P0026,BI Institute,Artanto Januar,"Jalan Kutai No. 383
Probolinggo, Aceh 89268",(0831) 673-6663,latuponolaila@example.org,Aktivitas Keuangan dan Asuransi,2020-01-26,5,diskon,8,Group,108000000.0,5,social media,positif,bagus,90,10,2,4,Ya,5,B0026,Ibun,14,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
26,P0027,BPRS HIK Cibitung ,Yono Napitupulu,"Jl. Cihampelas No. 720
Padang, Papua Barat 98536",+62-925-479-9127,septihutasoit@example.org,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2020-01-27,5,diskon,3,Group,114000000.0,5,social media,positif,bagus,87,10,2,2,Ya,5,B0027,Iqbal,11,6000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
27,P0028,Bank Fama International,Dr. Hasna Manullang,"Gg. Cikutra Barat No. 849
Pariaman, Jawa Barat 75364",+62 (20) 699 4547,irawanembuh@example.org,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-01-28,5,diskon,20,Group,120000000.0,5,social media,positif,bagus,90,10,1,5,Ya,5,B0028,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
28,P0029,ACA,Lili Prayoga,"Jalan Abdul Muis No. 7
Surakarta, SR 65593",+62 (22) 222-6708,saragihkemal@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-29,5,diskon,5,Group,108000000.0,5,social media,positif,bagus,93,10,2,3,Ya,5,B0029,Ibun,9,5000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
29,P0030,Kobexindo,"Aurora Susanti, M.Farm","Jalan Raya Setiabudhi No. 7
Tasikmalaya, Banten 02934",(005) 240-8850,embuhsuwarno@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2020-01-30,5,diskon,5,Group,120000000.0,5,social media,positif,bagus,87,10,1,3,Ya,5,B0030,Reza,11,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
30,P0031,Medion,Gandi Maryati,"Gg. Stasiun Wonokromo No. 2
Padang Sidempuan, SG 53778",(002) 043-3567,maheswarahana@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2020-01-31,5,diskon,4,Group,114000000.0,5,social media,positif,bagus,86,10,1,3,Ya,5,B0031,Ibun,11,5000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
31,P0032,HK Metals Utama,Drs. Ihsan Yolanda,"Jalan Dr. Djunjunan No. 07
Tegal, Sumatera Selatan 88036",(041) 195 5396,santosobalapati@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-02-01,5,diskon,18,Group,110000000.0,5,social media,positif,bagus,87,10,2,5,Ya,5,B0032,Ibun,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
32,P0033,Sharp Electronics,"Patricia Hutagalung, S.E.I","Gang Gardujati No. 30
Pangkalpinang, Aceh 40981",+62 (0571) 553 6237,prabowolidya@example.com,"Pertanian, Kehutanan dan Perikanan",2020-02-02,5,diskon,11,Group,120000000.0,5,social media,positif,bagus,88,10,1,4,Ya,5,B0033,Ibun,12,5000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
33,P0034,Bank BTN ,Pardi Hutagalung,"Gang Sukabumi No. 781
Tual, SS 99930",+62 (85) 845 0796,vsihombing@example.net,Informasi Dan Komunikasi,2020-02-03,5,diskon,16,Group,108000000.0,5,social media,positif,bagus,92,10,1,5,Ya,5,B0034,Haris,16,9000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
34,P0035,Campina Ice Cream,Dian Permata,"Gg. Pasirkoja No. 7
Padangpanjang, Aceh 49325",+62 (550) 538 8458,sucipalastri@example.com,Industri Pengolahan,2020-02-04,5,diskon,12,Group,120000000.0,5,social media,positif,bagus,90,10,1,5,Ya,5,B0035,Reza,16,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
35,P0036,Bank BTN ,Drs. Sari Lailasari,"Jl. Wonoayu No. 13
Mojokerto, AC 72903",+62 (50) 987 1959,megantaratirtayasa@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2020-02-05,5,diskon,12,Group,110000000.0,5,social media,positif,bagus,87,10,1,5,Ya,5,B0036,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
36,P0037,Bank BTN ,R.A. Yani Manullang,"Gg. Sadang Serang No. 5
Bitung, Kalimantan Barat 08609",(024) 048 4126,raisa82@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2020-02-06,5,diskon,4,Group,120000000.0,5,social media,positif,bagus,92,10,1,3,Ya,5,B0037,Rian,11,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
37,P0038,Indospring ,"Cornelia Anggriawan, M.Farm","Jalan Cikutra Barat No. 98
Bukittinggi, Sulawesi Selatan 40155",+62 (18) 672-5727,rhutasoit@example.org,Aktivitas Keuangan dan Asuransi,2020-02-07,5,diskon,5,Group,110000000.0,5,social media,positif,bagus,94,10,1,3,Ya,5,B0038,Alam,11,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
38,P0039,Keb Hana,R. Maryanto Tarihoran,"Jl. PHH. Mustofa No. 91
Gorontalo, GO 18826",+62-0567-393-2123,oktavianiemong@example.com,Industri Pengolahan,2020-02-08,5,diskon,15,Group,110000000.0,5,social media,positif,bagus,87,10,2,5,Ya,5,B0039,Rian,17,8000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
39,P0040,Syncrum Logistic,Nadine Nurdiyanti,"Gg. Sukajadi No. 7
Mataram, KI 20510",(056) 921-1395,fujiatihamzah@example.net,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2020-02-09,5,diskon,11,Group,120000000.0,5,social media,positif,bagus,87,10,1,4,Ya,5,B0040,Iqbal,14,5000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
40,P0041,BI Babel,"Ir. Nadine Rahmawati, S.Pd","Jl. Ciumbuleuit No. 76
Tangerang, BB 67847",(0622) 334-2235,latuponolukman@example.org,Pendidikan,2020-02-10,5,diskon,10,Group,108000000.0,5,social media,positif,bagus,89,10,2,4,Ya,5,B0041,Ibun,14,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
41,P0042,BI Purwokerto,Leo Nasyidah,"Gang Dr. Djunjunan No. 37
Sabang, Bengkulu 89847",(0930) 455 0151,jaryani@example.org,Industri Pengolahan,2020-02-11,5,diskon,19,Group,108000000.0,5,social media,positif,bagus,85,10,2,5,Ya,5,B0042,Rian,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
42,P0043,Artha Prima Finance,Chelsea Saptono,"Jl. Jayawijaya No. 0
Banjar, JT 49880",+62 (0099) 646 9361,lembahhidayat@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",2020-02-12,5,diskon,19,Group,114000000.0,5,social media,positif,bagus,85,10,1,4,Ya,5,B0043,Haris,17,10000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
43,P0044,Asuransi Raksa Pratikara,Cecep Nainggolan,"Jalan Jayawijaya No. 08
Batam, SR 12053",(050) 318 8567,danggraini@example.com,Pengangkutan dan Pergudangan,2020-02-13,5,diskon,8,Group,120000000.0,5,social media,positif,bagus,88,10,2,4,Ya,5,B0044,Reza,14,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
44,P0045,Pro Car International Finance,Adiarja Wibowo,"Gang Pelajar Pejuang No. 2
Tebingtinggi, KS 25813",+62 (066) 448-0635,ilsalailasari@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2020-02-14,5,diskon,15,Group,104500000.0,5,social media,positif,bagus,91,10,2,5,Ya,5,B0045,Ibun,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
45,P0046,BPRS Dhinar Asri,Ganjaran Suartini,"Jalan Rumah Sakit No. 39
Tanjungpinang, Riau 41835",+62-079-076-9644,mhandayani@example.net,Konstruksi,2020-02-15,5,diskon,16,Group,108000000.0,5,social media,positif,bagus,86,10,1,5,Ya,5,B0046,Reza,17,11000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
46,P0047,BTM Muhammadiyah,Bagiya Pratama,"Gg. S. Parman No. 37
Padang, BB 34134",+62 (046) 426 6316,cawuksimanjuntak@example.com,Konstruksi,2020-02-16,5,diskon,16,Group,108000000.0,5,social media,positif,bagus,90,10,2,5,Ya,5,B0047,Rian,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
47,P0048,Palyja,Tgk. Zahra Novitasari,"Gang Kiaracondong No. 6
Banjar, KT 04432",+62 (0481) 605 0671,heryantomandala@example.net,Real Estat,2020-02-17,5,diskon,19,Group,120000000.0,5,social media,positif,bagus,94,10,2,5,Ya,5,B0048,Ibun,17,7000000,50,Leadership & Managerial Series,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation
